Ticker,Security,Sector,Score
BF.B,Brown-Forman Corp.,Consumer Staples,217.09
J,Jacobs Engineering Group,Industrials,216.65
RMD,ResMed,Health Care,215.05
EW,Edwards Lifesciences,Health Care,214.33
NVR,NVR Inc.,Consumer Discretionary,212.72
MCK,McKesson Corp.,Health Care,212.62
FFIV,F5 Networks,Information Technology,212.61
GPC,Genuine Parts,Consumer Discretionary,211.53
EBAY,eBay Inc.,Consumer Discretionary,210.81
LEG,Leggett & Platt,Consumer Discretionary,210.69
FMC,FMC Corporation,Materials,209.55
ZBH,Zimmer Biomet Holdings,Health Care,208.5
MAS,Masco Corp.,Industrials,208.04
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,207.54
MDT,Medtronic plc,Health Care,206.1
MKTX,MarketAxess,Financials,205.64
IPG,Interpublic Group,Communication Services,204.26
YUM,Yum! Brands Inc,Consumer Discretionary,204.2
EXR,Extra Space Storage,Real Estate,204.16
SYY,Sysco Corp.,Consumer Staples,203.51
DRE,Duke Realty Corp,Real Estate,201.93
HBAN,Huntington Bancshares,Financials,201.62
PFG,Principal Financial Group,Financials,199.16
TRV,The Travelers Companies Inc.,Financials,198.71
PNC,PNC Financial Services,Financials,198.65
MHK,Mohawk Industries,Consumer Discretionary,197.84
DXC,DXC Technology,Information Technology,196.87
TDG,TransDigm Group,Industrials,196.37
TFC,Truist Financial,Financials,195.22
BEN,Franklin Resources,Financials,193.83
HD,Home Depot,Consumer Discretionary,193.7
WAB,Wabtec Corporation,Industrials,192.82
BRK.B,Berkshire Hathaway,Financials,192.13
STX,Seagate Technology,Information Technology,190.79
PRU,Prudential Financial,Financials,189.21
AAP,Advance Auto Parts,Consumer Discretionary,188.99
PG,Procter & Gamble,Consumer Staples,188.8
PHM,PulteGroup,Consumer Discretionary,188.38
ABBV,AbbVie Inc.,Health Care,186.58
BKR,Baker Hughes Co,Energy,185.36
CBRE,CBRE Group,Real Estate,183.12
AIZ,Assurant,Financials,181.53
KMX,Carmax Inc,Consumer Discretionary,181.5
TJX,TJX Companies Inc.,Consumer Discretionary,181.31
UNM,Unum Group,Financials,179.82
ABC,AmerisourceBergen Corp,Health Care,179.79
PEG,Public Service Enterprise Group (PSEG),Utilities,179.72
XRAY,Dentsply Sirona,Health Care,178.39
COO,The Cooper Companies,Health Care,178.36
KSS,Kohl's Corp.,Consumer Discretionary,177.06
KHC,Kraft Heinz Co,Consumer Staples,176.56
MA,Mastercard Inc.,Information Technology,175.7
WMB,Williams Companies,Energy,175.61
KEY,KeyCorp,Financials,175.31
EA,Electronic Arts,Communication Services,172.82
JPM,JPMorgan Chase & Co.,Financials,170.1
DTE,DTE Energy Co.,Utilities,168.68
MCD,McDonald's Corp.,Consumer Discretionary,168.62
PSA,Public Storage,Real Estate,166.7
ORLY,O'Reilly Automotive,Consumer Discretionary,165.4
ZION,Zions Bancorp,Financials,164.94
APD,Air Products & Chemicals Inc,Materials,164.64
STT,State Street Corp.,Financials,164.17
PLD,Prologis,Real Estate,163.84
CERN,Cerner,Health Care,163.29
RCL,Royal Caribbean Group,Consumer Discretionary,163.08
NTRS,Northern Trust Corp.,Financials,162.81
VTR,Ventas Inc,Real Estate,161.7
AXP,American Express Co,Financials,160.94
CF,CF Industries Holdings Inc,Materials,159.34
V,Visa Inc.,Information Technology,159.27
EFX,Equifax Inc.,Industrials,159.17
HSIC,Henry Schein,Health Care,155.63
BAC,Bank of America Corp,Financials,154.41
ANTM,Anthem,Health Care,153.7
ALK,Alaska Air Group Inc,Industrials,152.89
MAR,Marriott Int'l.,Consumer Discretionary,152.71
CHD,Church & Dwight,Consumer Staples,152.36
DISCA,Discovery Inc. (Class A),Communication Services,150.34
DGX,Quest Diagnostics,Health Care,148.58
LNC,Lincoln National,Financials,147.59
JNJ,Johnson & Johnson,Health Care,146.96
ULTA,Ulta Beauty,Consumer Discretionary,145.31
ROP,Roper Technologies,Industrials,144.44
MDLZ,Mondelez International,Consumer Staples,143.04
RSG,Republic Services Inc,Industrials,142.9
CB,Chubb Limited,Financials,140.32
MKC,McCormick & Co.,Consumer Staples,139.4
HWM,Howmet Aerospace,Industrials,138.41
PEP,PepsiCo Inc.,Consumer Staples,137.52
USB,U.S. Bancorp,Financials,136.71
